Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Brooklyn North,BKN01,10,2016,April,24.7,41,44.3,88.2
Brooklyn North,BKN02,10,2016,April,30.5,33.2,55.4,82.9
Brooklyn North,BKN03,10,2016,April,20.5,30.5,39.3,71.9
Brooklyn North,BKN04,10,2016,April,24.7,30.3,59.3,89.3
Brooklyn North,BKN05,10,2016,April,18.1,22.4,41.6,62.8
Brooklyn North,BKN08,10,2016,April,27.2,40.1,55.8,98.2
Brooklyn North,BKN09,10,2016,April,22.4,31.4,42.9,77.8
Brooklyn North,BKN16,10,2016,April,16,21.2,32.2,54.9
Brooklyn North,BKN17,10,2016,April,24.1,29.5,58,84
Brooklyn South,BKS06,10,2016,April,46.8,47.4,85.4,131.8
Brooklyn South,BKS07,10,2016,April,34.8,47.2,71,123.6
Brooklyn South,BKS10,10,2016,April,40.2,57.3,76.2,142.3
Brooklyn South,BKS11,10,2016,April,31.3,47.3,65.1,114.1
Brooklyn South,BKS12,10,2016,April,25.7,47.5,41.5,93
Brooklyn South,BKS13,10,2016,April,24.1,39.6,51.9,92.6
Brooklyn South,BKS14,10,2016,April,26,36.9,57.4,88.3
Brooklyn South,BKS15,10,2016,April,30.7,48.5,62.4,111.3
Brooklyn South,BKS18,10,2016,April,27,41.6,68.4,107.4
Bronx,BX01,10,2016,April,13,19.7,26.8,46.8
Bronx,BX02,10,2016,April,23,32.3,54.3,87.9
Bronx,BX03,10,2016,April,17.7,28,41.4,64.9
Bronx,BX04,10,2016,April,20.2,28.6,47.1,75.8
Bronx,BX05,10,2016,April,21.3,28.7,54.1,80
Bronx,BX06,10,2016,April,25.1,36.6,45.3,90.3
Bronx,BX07,10,2016,April,24.3,32.7,60.2,93.4
Bronx,BX08,10,2016,April,33.9,47.1,81.3,121.3
Bronx,BX09,10,2016,April,17.6,21.5,39.4,60.8
Bronx,BX10,10,2016,April,31.4,42.2,67.3,111.7
Bronx,BX11,10,2016,April,25.2,35.7,54.1,88.2
Bronx,BX12,10,2016,April,28.9,35.2,74.6,103.4
Manhattan,MN01,10,2016,April,42.7,45.9,74.3,106.9
Manhattan,MN02,10,2016,April,40.4,38.9,83.2,99.5
Manhattan,MN03,10,2016,April,24.1,43,44.1,89.9
Manhattan,MN04,10,2016,April,36.8,33.5,82.2,89.2
Manhattan,MN05,10,2016,April,32.8,31.8,62,78
Manhattan,MN06,10,2016,April,36.5,34,79.4,88.3
Manhattan,MN07,10,2016,April,41.7,42.1,81.8,102.9
Manhattan,MN08,10,2016,April,41.7,43.5,80.5,104.4
Manhattan,MN09,10,2016,April,30.2,57.2,47.7,115
Manhattan,MN10,10,2016,April,25.4,38.8,55.3,95.9
Manhattan,MN11,10,2016,April,20.9,42.1,34,78.5
Manhattan,MN12,10,2016,April,27.2,44,60.9,104.3
Queens East,QE07,10,2016,April,31,48.9,64.1,112.6
Queens East,QE08,10,2016,April,27.7,30.6,52.7,75.2
Queens East,QE10,10,2016,April,35.6,46.8,88.4,137.3
Queens East,QE11,10,2016,April,39.5,65.2,90.4,174.5
Queens East,QE12,10,2016,April,25.4,39.3,64.5,106.4
Queens East,QE13,10,2016,April,30.8,44.2,91.2,125
Queens East,QE14,10,2016,April,21.2,32,39.6,72.5
Queens West,QW01,10,2016,April,33.2,49.5,76.3,122.1
Queens West,QW02,10,2016,April,33.1,52.7,69.1,121.8
Queens West,QW03,10,2016,April,25.5,33.5,59.1,89.5
Queens West,QW04,10,2016,April,24.6,33,54.2,86.1
Queens West,QW05,10,2016,April,39.8,50.6,84.2,144.1
Queens West,QW06,10,2016,April,34.8,30.6,75,84.1
Queens West,QW09,10,2016,April,32.3,43.3,76.4,116.3
Staten Island,SI01,10,2016,April,32.7,45.6,81.5,129.4
Staten Island,SI02,10,2016,April,32.5,52.2,80.7,131.7
Staten Island,SI03,10,2016,April,34.1,55.3,85.5,140.4
Brooklyn North,BKN01,10,2017,April,23.7,42.3,42.3,82.9
Brooklyn North,BKN02,10,2017,April,29.1,33.5,54.2,78.2
Brooklyn North,BKN03,10,2017,April,19.5,31.7,41.1,67.4
Brooklyn North,BKN04,10,2017,April,24.1,31.5,64.7,85.1
Brooklyn North,BKN05,10,2017,April,17.7,23.4,43.3,60.6
